;data;Taxa de juros nominal Overnight Selic;ano;mês;variação
0;1974.01;19,0;1974;01;
1;1974.02;14,71;1974;02;-0,22578947368421043
2;1974.03;14,84;1974;03;0,008837525492861875
3;1974.04;15,53;1974;04;0,046495956873315425
4;1974.05;15,94;1974;05;0,02640051513200259
5;1974.06;19,7;1974;06;0,23588456712672512
6;1974.07;21,27;1974;07;0,07969543147208125
7;1974.08;12,68;1974;08;-0,4038551951104843
8;1974.09;17,88;1974;09;0,41009463722397466
9;1974.10;14,3;1974;10;-0,20022371364653235
10;1974.11;19,0;1974;11;0,32867132867132853
11;1974.12;22,85;1974;12;0,2026315789473685
12;1975.01;23,73;1975;01;0,038512035010940915
13;1975.02;20,98;1975;02;-0,11588706278971761
14;1975.03;13,08;1975;03;-0,3765490943755958
15;1975.04;15,25;1975;04;0,16590214067278297
16;1975.05;19,0;1975;05;0,24590163934426235
17;1975.06;23,29;1975;06;0,22578947368421054
18;1975.07;21,7;1975;07;-0,06826964362387289
19;1975.08;20,98;1975;08;-0,03317972350230414
20;1975.09;20,56;1975;09;-0,020019065776930467
21;1975.10;26,08;1975;10;0,2684824902723735
22;1975.11;32,15;1975;11;0,23274539877300615
23;1975.12;26,68;1975;12;-0,17013996889580085
24;1976.01;32,3;1976;01;0,21064467766116923
25;1976.02;35,75;1976;02;0,10681114551083604
26;1976.03;34,96;1976;03;-0,022097902097902078
27;1976.04;42,91;1976;04;0,22740274599542332
28;1976.05;35,91;1976;05;-0,16313213703099516
29;1976.06;36,39;1976;06;0,013366750208855693
30;1976.07;48,67;1976;07;0,33745534487496576
31;1976.08;39,29;1976;08;-0,1927265255804398
